Genome,GenomeName,Proteins,Reference,Size_Kb,realm_reference,realm_prediction,kingdom_reference,kingdom_prediction,phylum_reference,phylum_prediction,class_reference,class_prediction,order_reference,order_prediction,family_reference,family_prediction,subfamily_reference,subfamily_prediction,genus_reference,genus_prediction
NC_048037.1,Sulfolobus filamentous virus 1,66,True,37.311,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus
NC_048128.1,Sulfolobales Beppu filamentous virus 2,68,True,38.091,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Alphalipothrixvirus,Alphalipothrixvirus
NC_003214.2,Sulfolobus islandicus filamentous virus,73,True,40.9,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_010152.1,Betalipothrixvirus pozzuoliense,66,True,39.577,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_010153.1,Betalipothrixvirus pezzuloense,57,True,36.895,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_010154.1,Betalipothrixvirus puteoliense,61,True,38.179,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_010155.1,Betalipothrixvirus acidiani,68,True,40.449,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_010537.1,Betalipothrixvirus uzonense,73,True,41.172,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Betalipothrixvirus,Betalipothrixvirus
NC_009884.1,Deltalipothrixvirus pozzuoliense,52,True,31.787,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus
NC_048127.1,Sulfolobales Beppu filamentous virus 3,54,True,31.324,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Lipothrixviridae,Lipothrixviridae,,novel_subfamily_0_of_Lipothrixviridae,Deltalipothrixvirus,Deltalipothrixvirus
NC_019413.1,Sulfolobales Mexican rudivirus 1,37,True,27.431,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Rudivirus,Rudivirus
MK064565.1,Sulfolobales Beppu rod-shaped virus 1,60,True,34.025,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Japarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
MN876841.1,Saccharolobus solfataricus rod-shaped virus 1,37,True,26.097,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Hoswirudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
MN876842.1,Acidianus rod-shaped virus 3,33,True,23.666,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Hoswirudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
MN876843.1,Metallosphaera rod-shaped virus 1,27,True,20.269,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Hoswirudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_004086.1,Sulfolobus islandicus rod-shaped virus 2,54,True,35.45,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Icerudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_004087.1,Sulfolobus islandicus rod-shaped virus 1,45,True,32.308,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Icerudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_009965.1,Acidianus rod-shaped virus 1,41,True,24.655,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Itarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_025375.1,Stygiolobus rod-shaped virus,37,True,28.096,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Azorudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_029314.1,Acidianus rod-shaped virus 2,43,True,29.763,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Hoswirudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_030884.1,Sulfolobus islandicus rudivirus 3,45,True,32.995,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Rudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
NC_034619.1,Sulfolobus islandicus rod-shaped virus 7,52,True,34.19,Adnaviria,Adnaviria,Zilligvirae,Zilligvirae,Taleaviricota,Taleaviricota,Tokiviricetes,Tokiviricetes,Ligamenvirales,Ligamenvirales,Rudiviridae,Rudiviridae,,novel_subfamily_0_of_Rudiviridae,Usarudivirus,Usarudivirus|Hoswirudivirus|Icerudivirus|Azorudivirus|Itarudivirus|Japarudivirus|Rudivirus
